PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
featureBased,0.39,0.01,True,1,24,4,True,after_each_move,1.25,full,30,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",39.25,"[1, 10, 14, 7, 0, 8]",True,1C.1
none,2.52,0.01,True,0,24,4,False,after_each_move,1.25,none,31,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",251.75,"[5, 6, 14, 12, 2, 7]",True,1C.1
none,0.62,0.01,True,0,24,4,False,after_each_move,1.25,none,32,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",62.0,"[6, 10, 11, 15, 1, 7]",True,1C.1
none,1.49,0.01,True,0,24,4,False,after_each_move,1.25,none,33,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",149.0,"[0, 2, 5, 15, 1, 7]",True,1C.1
featureBased,1.91,0.01,True,1,24,4,True,after_each_move,1.25,full,34,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",191.0,"[9, 0, 13, 2, 14, 15]",True,1C.1
none,1.94,0.01,True,0,24,4,False,after_each_move,1.25,none,35,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",194.0,"[14, 12, 13, 4, 7, 8]",True,1C.1
demonstration,2.13,0.01,True,2,24,4,False,after_each_move,1.25,full,36,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",212.5,"[4, 0, 14, 11, 7, 13]",True,1C.1
none,2.08,0.01,True,0,24,4,False,after_each_move,1.25,none,37,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",208.0,"[4, 12, 1, 14, 8, 10]",True,1C.1
demonstration,2.24,0.01,True,2,24,4,False,after_each_move,1.25,full,38,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",223.75,"[14, 4, 1, 10, 12, 7]",True,1C.1
none,2.54,0.01,True,0,24,4,False,after_each_move,1.25,none,39,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",254.0,"[4, 5, 11, 10, 7, 14]",True,1C.1
featureBased,1.94,0.01,True,1,24,4,True,after_each_move,1.25,full,40,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",193.5,"[4, 8, 3, 2, 9, 14]",True,1C.1
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,none,41,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1C.1
demonstration,2.22,0.01,True,2,24,4,False,after_each_move,1.25,full,42,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",221.75,"[13, 5, 8, 7, 10, 4]",True,1C.1
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,none,43,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1C.1
featureBased,1.8,0.01,True,1,24,4,True,after_each_move,1.25,full,44,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",180.25,"[7, 13, 2, 14, 3, 1]",True,1C.1
demonstration,0.0,0.01,False,2,24,4,False,after_each_move,1.25,full,45,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,1C.1
featureBased,2.13,0.01,True,1,24,4,True,after_each_move,1.25,full,46,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",212.75,"[1, 4, 15, 11, 10, 12]",True,1C.1
demonstration,2.05,0.01,True,2,24,4,False,after_each_move,1.25,full,47,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",205.25,"[7, 6, 14, 5, 10, 3]",True,1C.1
none,0.71,0.01,True,0,24,4,False,after_each_move,1.25,none,48,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",70.75,"[7, 3, 4, 12, 13, 11]",True,1C.1
featureBased,1.21,0.01,True,1,24,4,True,after_each_move,1.25,full,49,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",121.25,"[4, 13, 8, 10, 6, 3]",True,1C.1
