action_times,actions,button_pressed,correct,delays,key_press,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,311686,,,311690,,,instructions,"[{""page_index"":0,""viewing_time"":46579},{""page_index"":1,""viewing_time"":63104},{""page_index"":2,""viewing_time"":110327},{""page_index"":3,""viewing_time"":91673}]",56
,,,,,,,,,,24602,,,377765,,,instructions,"[{""page_index"":0,""viewing_time"":9074},{""page_index"":1,""viewing_time"":6499},{""page_index"":2,""viewing_time"":4549},{""page_index"":3,""viewing_time"":4479}]",56
,,,,,,,,,,120349,,,120350,,,instructions,"[{""page_index"":0,""viewing_time"":47905},{""page_index"":1,""viewing_time"":26987},{""page_index"":2,""viewing_time"":21517},{""page_index"":3,""viewing_time"":23940}]",57
,,,,,,,,,,69358,,,230579,,,instructions,"[{""page_index"":0,""viewing_time"":34208},{""page_index"":1,""viewing_time"":24646},{""page_index"":2,""viewing_time"":5441},{""page_index"":3,""viewing_time"":5063}]",57
,,,,,,,,,,98127,,,98129,,,instructions,"[{""page_index"":0,""viewing_time"":37876},{""page_index"":1,""viewing_time"":33875},{""page_index"":2,""viewing_time"":26374}]",58
,,,,,,,,,,65555,,,65556,,,instructions,"[{""page_index"":0,""viewing_time"":4438},{""page_index"":1,""viewing_time"":11389},{""page_index"":2,""viewing_time"":14137},{""page_index"":1,""viewing_time"":20148},{""page_index"":2,""viewing_time"":15443}]",59
,,,,,,,,,,105704,,,105707,,,instructions,"[{""page_index"":0,""viewing_time"":52567},{""page_index"":1,""viewing_time"":30789},{""page_index"":2,""viewing_time"":22346}]",60
,,,,,,,,,,16196,,,16197,,,instructions,"[{""page_index"":0,""viewing_time"":3826},{""page_index"":1,""viewing_time"":1079},{""page_index"":2,""viewing_time"":5609},{""page_index"":3,""viewing_time"":5679}]",61
,,,,,,,,,,292525,,,292527,,,instructions,"[{""page_index"":0,""viewing_time"":72356},{""page_index"":1,""viewing_time"":55311},{""page_index"":2,""viewing_time"":109384},{""page_index"":3,""viewing_time"":55472}]",62
,,,,,,,,,,82309,,,498956,,,instructions,"[{""page_index"":0,""viewing_time"":33165},{""page_index"":1,""viewing_time"":14295},{""page_index"":2,""viewing_time"":33584},{""page_index"":3,""viewing_time"":1264}]",62
