,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
101,6,1,featureBased,full,6,4,"[4, 3, 0]",5.0,3,"[2, 10, 11]","[4822, 13363, 15834]","[1, 2, 6, 11]","[6266, 16774, 22006]"
102,6,1,featureBased,full,7,3,"[7, 0, 0]",18.0,7,"[2, 10, 11, 8, 15, 14, 4]","[9696, 11142, 11830, 14494, 15934, 17086, 17853]","[1, 4, 8, 15]","[19434, 30850, 31857]"
103,6,1,featureBased,full,8,1,"[5, 0, 0]",37.0,3,"[3, 13, 12]","[11323, 12010, 13722]","[1, 3, 7, 13]","[15006, 23623, 25342]"
104,6,1,featureBased,full,9,14,"[0, 0, 0]",43.0,9,"[5, 17, 11, 10, 14, 15, 13, 12, 3]","[2392, 3013, 3847, 4654, 5671, 6326, 7029, 7598, 8215]","[1, 3, 7, 12]","[9026, 15051, 17298]"
105,6,1,featureBased,full,10,0,"[0, 0, 0]",57.0,5,"[17, 16, 8, 15, 14]","[2180, 2739, 3379, 3767, 4380]","[1, 4, 8, 14]","[6984, 10227, 11679]"
106,6,1,featureBased,full,11,6,[],54.0,3,"[6, 11, 10]","[3097, 5733, 7053]","[1, 2, 6, 11]","[8873, 10080, 11144]"
107,6,1,featureBased,full,12,10,[],5.0,10,"[15, 14, 17, 16, 11, 10, 13, 12, 3, 7]","[1546, 2345, 3377, 3899, 4602, 5209, 5809, 6353, 7354, 8690]","[1, 3, 7, 13]","[9782, 10717, 11414]"
108,6,1,featureBased,full,13,9,[],40.0,11,"[11, 10, 16, 17, 15, 14, 12, 13, 2, 6, 5]","[1381, 2372, 3428, 4138, 5356, 6083, 6843, 7348, 11132, 11636, 15131]","[1, 5, 9, 17]","[16079, 17168, 18215]"
109,6,1,featureBased,full,14,7,[],18.0,10,"[16, 17, 11, 10, 12, 13, 14, 15, 4, 8]","[1050, 1593, 2081, 2729, 3881, 4391, 5128, 5624, 12427, 13213]","[1, 4, 8, 14]","[14341, 14933, 15677]"
110,6,1,featureBased,full,15,15,[],40.0,9,"[17, 16, 11, 10, 13, 12, 14, 15, 3]","[1069, 1940, 2595, 3140, 3884, 4380, 4907, 5460, 6109]","[1, 3, 7, 12]","[7008, 7816, 8712]"
111,6,1,featureBased,full,16,11,[],23.0,5,"[17, 14, 11, 10, 6]","[1350, 2326, 3967, 4614, 6246]","[1, 2, 6, 11]","[7407, 8552, 9391]"
112,7,1,demonstration,full,1,9,[],44.0,7,"[2, 3, 4, 8, 5, 9, 16]","[1005, 2004, 3004, 4004, 5007, 6005, 9007]","[1, 5, 9, 17]","[7002, 8005, 10003]"
113,7,1,demonstration,full,2,0,[],55.0,7,"[2, 3, 4, 7, 5, 8, 15]","[1003, 2004, 3003, 4007, 5003, 6003, 9006]","[1, 4, 8, 14]","[7001, 8001, 10002]"
114,7,1,demonstration,full,3,10,[],47.0,6,"[2, 3, 4, 6, 11, 10]","[1003, 2003, 3003, 4002, 7004, 8005]","[1, 2, 6, 10]","[5001, 6002, 9002]"
115,7,1,demonstration,full,4,15,[],43.0,6,"[2, 3, 4, 5, 7, 12]","[1003, 2002, 3002, 4005, 5004, 8005]","[1, 3, 7, 12]","[6001, 7003, 9002]"
116,7,1,demonstration,full,5,3,[],49.0,6,"[2, 6, 3, 4, 7, 12]","[1002, 2003, 3003, 4002, 5002, 8002]","[1, 3, 7, 13]","[6001, 7000, 9002]"
117,7,1,demonstration,full,6,13,[],47.0,3,"[2, 3, 12]","[1006, 2004, 5002]","[1, 3, 7, 12]","[3002, 4001, 6001]"
118,7,1,demonstration,full,7,4,[],49.0,6,"[2, 6, 3, 4, 7, 12]","[1003, 2001, 3001, 4004, 5003, 8004]","[1, 3, 7, 13]","[6002, 7004, 9001]"
119,7,1,demonstration,full,8,12,[],47.0,5,"[2, 3, 4, 7, 12]","[1003, 2002, 3004, 4003, 7004]","[1, 3, 7, 12]","[5001, 6001, 8002]"
120,7,1,demonstration,full,9,1,[],35.0,5,"[2, 3, 7, 4, 12]","[1004, 2006, 3005, 4003, 7005]","[1, 3, 7, 13]","[5005, 6005, 8002]"
121,7,1,demonstration,full,10,5,[],41.0,6,"[2, 3, 6, 4, 7, 12]","[1003, 2003, 3003, 4004, 5002, 8003]","[1, 3, 7, 12]","[6002, 7001, 9001]"
122,7,1,demonstration,full,11,14,[],49.0,3,"[3, 7, 12]","[1997, 4214, 5160]","[1, 3, 7, 12]","[6599, 7398, 8575]"
123,7,1,demonstration,full,12,2,[],52.0,3,"[7, 12, 13]","[3542, 4192, 4912]","[1, 3, 7, 13]","[1598, 5806, 6422]"
124,7,1,demonstration,full,13,6,[],44.0,13,"[3, 4, 2, 5, 9, 7, 13, 12, 17, 16, 6, 10, 11]","[1327, 2001, 2617, 3279, 4874, 5739, 6435, 7029, 8143, 8849, 10347, 11373, 12117]","[1, 2, 6, 11]","[13307, 14075, 14979]"
125,7,1,demonstration,full,14,7,[],17.0,11,"[2, 3, 4, 5, 6, 10, 8, 14, 15, 7, 9]","[960, 1968, 2632, 3178, 4029, 4676, 6239, 6857, 7409, 8147, 9333]","[1, 4, 8, 14]","[11589, 12325, 13133]"
126,7,1,demonstration,full,15,8,[],48.0,10,"[3, 4, 2, 5, 9, 17, 16, 6, 10, 11]","[1276, 2019, 2710, 3279, 4040, 4591, 5313, 6220, 6917, 7773]","[1, 2, 6, 11]","[8484, 9172, 9900]"
127,7,1,demonstration,full,16,11,[],19.0,9,"[3, 4, 5, 2, 9, 7, 6, 11, 10]","[1255, 2336, 2944, 3578, 4396, 5244, 7017, 7795, 8580]","[1, 2, 6, 11]","[9287, 9958, 10615]"
128,8,1,featureBased,full,1,1,"[1, 0, 0]",36.0,4,"[3, 7, 13, 12]","[806, 1515, 2113, 3068]","[1, 3, 7, 13]","[5488, 8971, 9683]"
129,8,1,featureBased,full,2,0,"[0, 0, 7]",24.0,6,"[3, 2, 5, 4, 7, 8]","[1088, 1886, 2737, 3624, 5409, 6669]","[1, 4, 8, 15]","[7838, 10138, 10966]"
130,8,1,featureBased,full,3,6,"[5, 0, 0]",14.0,10,"[4, 3, 7, 13, 12, 2, 5, 9, 17, 16]","[4331, 5229, 7505, 8167, 8985, 10819, 11507, 12683, 13409, 14256]","[1, 5, 9, 17]","[15585, 23855, 24937]"
131,8,1,featureBased,full,4,15,"[1, 0, 0]",35.0,3,"[3, 7, 13]","[2332, 3984, 5353]","[1, 3, 7, 13]","[6552, 9917, 10721]"
132,8,1,featureBased,full,5,8,"[4, 4, 0]",17.0,8,"[3, 7, 2, 5, 4, 9, 17, 16]","[4355, 5194, 5899, 7155, 8258, 17524, 18219, 19016]","[1, 5, 9, 16]","[10955, 20473, 59447]"
133,8,1,featureBased,full,6,10,"[7, 4, 0]",10.0,7,"[3, 2, 5, 4, 14, 15, 8]","[2211, 3031, 3972, 4678, 15808, 17350, 23452]","[1, 4, 8, 15]","[5855, 24852, 30078]"
