,Unnamed: 0,id,,condition,score,norm_score
1245,3904,A2GPUGW5NHLL88:30ZX6P7VF92UCNYIBWW5XNCLA70J27,,1,480,-270
1252,3911,A3EVRS5DB4TE1A:31LM9EDVOMZQ19NBXFUPPBFJL2RJNY,,2,686,-199
1259,3922,A2CTCKTL2LL5V:3I3WADAZ9RB0CV829SQ83QWJTB1O5W,,2,463,-105
1266,3929,A38PJ344YGWQ61:3PPTZCWALRR14L57VTPSHZYE9BRQZD,,0,-37,-875
1272,3935,A1T6TPNU64ZH9F:32XVDSJFP04KDV43ET9XDF42E1VM2E,,2,564,-4
1279,3942,A2ESBX4C2Q6TQY:3II4UPYCOKEY1K0B3B0VQ7FBLTHQDE,,1,317,-521
1286,3953,A2W0G89O7E9EFO:30LSNF239V2YHCECTEB5LMXLXSB2IE,,0,609,-56
1292,3959,A25RDVVFJBSCI8:3Y4W8Q93L0RQ6SWSPAU5WUEJ2LWDVV,,0,63,-602
1298,3965,A3KIDRWRKC7RI5:31JLPPHS2V1XYGLYV92FOTYZFFB3OM,,1,271,-367
1305,3972,A2OX8TSRCU6NKD:3VSOLARPKCGURTHSTKJXR33AKGO93D,,2,519,-125
1312,3979,A2SV6TAIJO32BX:3YHH42UU5CMTB3J4ZU44UEWYHYM0L7,,1,738,-30
1319,3986,A2QXN9TJNWRNL7:3IJXV6UZ1YQFLWVX84Q6MU5T9KRIR9,,2,943,4
1326,3993,A2SNZOY3RDSJ9A:3QECW5O0KI8GPNDA59C7X026SJJ5T0,,0,300,-365
1332,4003,A3VZDRWPGJH46L:34MAJL3QP5UTUNBGCPN6AVSUYOB43D,,1,298,-641
1339,4010,AAAXW8E4C8ES9:35H6S234SB7ANP2Y9W4EMQAS8B756O,,1,638,-11
1346,4017,A265I4XVBXVLXB:3L70J4KAZHT6E4TUEF390706HBVADR,,0,199,-776
1352,4031,A345TDMHP3DQ3G:3ZAZR5XV02PXAKVOQBOXXU9X5WPZCG,,0,309,-580
1358,4037,A1SJRFJWFXSDH4:3F6HPJW4JE7GI7YHIVFKMD6TC39W2F,,2,-65,-730
1365,4052,AEQ8K4HBO323D:3LO69W1SU4KQM7UPDWT7F6JEOFALGU,,0,726,-28
1371,4058,A1TI5K7PKFIB50:304SM51WA4BHZ3H4HJYUQH6C0WRBSI,,0,-131,-881
1377,4064,AXZV4UH3U7A6V:374TNBHA8C21ZVV2Z7N93SPC3HNQYM,,0,-13,-651
1383,4070,A30J4IZCMCR31F:308XBLVESJB5YOHR2UYP071GEU7BRT,,0,562,-188
1389,4076,A4YZ6VBF5H9CF:3TE22NPXPCJECJUKC3SPK0K0CO744Y,,1,616,-273
1396,4083,A286W816CMIZL9:31Q0U3WYDQMU37FKRJ7UPEX7R6N172,,0,579,-70
1402,4090,AB2NS6QG0K1KJ:3R08VXYT7D2N48VNO7WFI4N1NJWW7W,,2,409,-345
1409,4099,A10Q4U3BRHXXPP:35K3O9HUACK621O2LQ0LKQTIE39EF1,,2,468,-283
1416,4106,A2OZ3MQLZHGYUA:3Q5C1WP23N8FG3113QSXRUJB00S51R,,0,652,3
1422,4112,A2APLCDM5WB4D:3IQ1VMJRYURUBEGD2ZY7EBHGQQHA9B,,2,697,-192
1429,4119,AS6U5AB31C0E6:3LJ7UR74RIK0YR4QU87LJ9Q03524NT,,0,640,-245
1435,4125,A3GR8MTLTV0QW6:3NS0A6KXC5FARWBTSXKGNLUC3OIGZ8,,2,502,-383
1442,4132,AWIYSXEA51PFZ:30BUDKLTXE2E04VDFENCYE25P9V5E9,,1,559,-279
1449,4139,A2XXUORBL2OFYY:3NQL1CS15SFT43RJL6HJ9FOKK92YVO,,2,635,-275
1456,4146,A7MHJIPWRTJ8D:3WR9XG3T64IBV6C3E1QWNC4A3QX74L,,2,882,-57
1463,4161,A13Z9KTDPXMQ16:3NVC2EB65R69SUP01WBDQKW1TPA3YX,,2,301,-537
1470,4168,A3UGB7WCS7AGFQ:3PZDLQMM0US749SC14FJAJZQKNSC2N,,0,584,-81
1476,4174,ADVCIFLB5A9B:3X4MXAO0BHVXMRF2XLULNLE1OVPRWP,,2,-16,-654
1483,4181,A2Q45U44DLMPI4:3YJ6NA41JCNQ4UZODU7HT0KELHTJPV,,1,61,-824
1490,4188,A80X2FTFDSR19:3NXNZ5RS1B4CSCIFVWMN4KFQPIB97J,,1,137,-773
1497,4195,A1ZEOAAKKV1NLP:3XUHV3NRVL5QKEMF5FVIJHZIHPO5HQ,,1,561,-83
1504,4202,ARSABS3TFA1GU:3Z2R0DQ0JILM17CQXVLE07ZT5Z42E5,,2,711,-10
1511,4209,A1GEZDTJPG3Q7U:3UXUOQ9OKF4QXVSKN20N0FQAV0TA7Z,,0,820,-18
1517,4215,AUT1MH3OQ6T1:3LPW2N6LKU9VP0SZ5E2H2WO8BXQ5UR,,1,663,-222
1524,4230,A1NZY7X64EW2S:382M9COHEIMVLJLSGFVK6QULOQOUEG,,1,553,-198
1531,4243,AD66HP7KFSKJG:34BBWHLWHBIKTSCJ7Y0C9TDA1Z7WIR,,1,504,-247
1538,4250,A1QMUXF80QEULU:3K772S5NP9IQGXF8GGOLNB5VUIMEHZ,,2,899,-11
1545,4257,AN0JVAS4VR13F:31N2WW6R9SX3S385W6JP1ZPLNEL3F1,,2,882,14
1552,4264,A171S8E9IFSHH2:39DD6S19JQIC7IF2M2USNI90Q83EZP,,1,-46,-684
1559,4271,A34XIUT5O0PYQC:3R3YRB5GRGASV64G0ATYA74U3BQAU1,,2,510,-328
1566,4278,ASB83F0JJMDZ9:3U8YCDAGXQN420ZHRZC0B0VSR4A0QX,,2,498,-140
1573,4285,AU418BPG5PQ9I:358UUM7WR0AIWCE1PDM9V5FKV4HR7O,,1,343,-378
1580,4292,A1BG47GSHQ9WSU:3EJPLAJKENN8U3MNGKBUBUHN9AF6ZW,,2,690,-31
